Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;22500;ns;0
Spristupni na zaklade kluca;4300;ns;1
Spristupni na zaklade kluca;500;ns;1
Spristupni na zaklade kluca;500;ns;1
Vloz na zaklade kluca;24900;ns;1
Spristupni na zaklade kluca;8700;ns;2
Spristupni na zaklade kluca;8900;ns;2
Spristupni na zaklade kluca;8800;ns;2
Spristupni na zaklade kluca;8500;ns;2
Spristupni na zaklade kluca;8500;ns;2
Spristupni na zaklade kluca;8600;ns;2
Odstran na zaklade kluca;74900;ns;2
Odstran na zaklade kluca;18900;ns;1
Vloz na zaklade kluca;3800;ns;0
Vloz na zaklade kluca;16600;ns;1
Spristupni na zaklade kluca;8800;ns;2
Vloz na zaklade kluca;27300;ns;2
Spristupni na zaklade kluca;28300;ns;3
Vloz na zaklade kluca;32300;ns;3
Spristupni na zaklade kluca;25300;ns;4
Vloz na zaklade kluca;50300;ns;4
Vloz na zaklade kluca;50900;ns;5
Spristupni na zaklade kluca;44000;ns;6
Vloz na zaklade kluca;144300;ns;6
Vloz na zaklade kluca;117400;ns;7
Odstran na zaklade kluca;150800;ns;8
Spristupni na zaklade kluca;93300;ns;7
Spristupni na zaklade kluca;84700;ns;7
Spristupni na zaklade kluca;84500;ns;7
Spristupni na zaklade kluca;84700;ns;7
Spristupni na zaklade kluca;84400;ns;7
Odstran na zaklade kluca;141500;ns;7
Vloz na zaklade kluca;99100;ns;6
Vloz na zaklade kluca;107600;ns;7
Spristupni na zaklade kluca;143800;ns;8
Spristupni na zaklade kluca;103100;ns;8
Spristupni na zaklade kluca;97800;ns;8
Vloz na zaklade kluca;124100;ns;8
Spristupni na zaklade kluca;67700;ns;9
Spristupni na zaklade kluca;65800;ns;9
Vloz na zaklade kluca;79600;ns;9
Spristupni na zaklade kluca;73700;ns;10
Spristupni na zaklade kluca;88400;ns;10
Spristupni na zaklade kluca;74800;ns;10
Spristupni na zaklade kluca;75300;ns;10
Vloz na zaklade kluca;124400;ns;10
Vloz na zaklade kluca;96900;ns;11
Spristupni na zaklade kluca;87100;ns;12
Vloz na zaklade kluca;103700;ns;12
Spristupni na zaklade kluca;98900;ns;13
Vloz na zaklade kluca;109000;ns;13
Vloz na zaklade kluca;196200;ns;14
Spristupni na zaklade kluca;277000;ns;15
Spristupni na zaklade kluca;107100;ns;15
Vloz na zaklade kluca;295900;ns;15
Spristupni na zaklade kluca;115600;ns;16
Vloz na zaklade kluca;139400;ns;16
Vloz na zaklade kluca;208500;ns;17
Spristupni na zaklade kluca;262800;ns;18
Spristupni na zaklade kluca;130200;ns;18
Vloz na zaklade kluca;294600;ns;18
Spristupni na zaklade kluca;254500;ns;19
Vloz na zaklade kluca;273400;ns;19
Vloz na zaklade kluca;270900;ns;20
Spristupni na zaklade kluca;154100;ns;21
Spristupni na zaklade kluca;163100;ns;21
Vloz na zaklade kluca;167000;ns;21
Odstran na zaklade kluca;198100;ns;22
Vloz na zaklade kluca;251900;ns;21
Spristupni na zaklade kluca;316100;ns;22
Spristupni na zaklade kluca;165900;ns;22
Odstran na zaklade kluca;190000;ns;22
Spristupni na zaklade kluca;154100;ns;21
Spristupni na zaklade kluca;154400;ns;21
Spristupni na zaklade kluca;152800;ns;21
Spristupni na zaklade kluca;210800;ns;21
Vloz na zaklade kluca;176300;ns;21
Spristupni na zaklade kluca;161400;ns;22
Spristupni na zaklade kluca;159500;ns;22
Vloz na zaklade kluca;271700;ns;22
Vloz na zaklade kluca;194400;ns;23
Spristupni na zaklade kluca;175300;ns;24
Vloz na zaklade kluca;188700;ns;24
Spristupni na zaklade kluca;184900;ns;25
Vloz na zaklade kluca;207200;ns;25
Spristupni na zaklade kluca;214000;ns;26
Spristupni na zaklade kluca;356900;ns;26
Spristupni na zaklade kluca;192000;ns;26
Spristupni na zaklade kluca;192100;ns;26
Vloz na zaklade kluca;211000;ns;26
Spristupni na zaklade kluca;262300;ns;27
Spristupni na zaklade kluca;198500;ns;27
Odstran na zaklade kluca;238700;ns;27
Vloz na zaklade kluca;281600;ns;26
Spristupni na zaklade kluca;199300;ns;27
Spristupni na zaklade kluca;197600;ns;27
Vloz na zaklade kluca;212600;ns;27
Spristupni na zaklade kluca;306900;ns;28
Spristupni na zaklade kluca;208000;ns;28
Spristupni na zaklade kluca;308700;ns;28
Spristupni na zaklade kluca;207900;ns;28
Spristupni na zaklade kluca;208000;ns;28
Spristupni na zaklade kluca;239000;ns;28
Vloz na zaklade kluca;444200;ns;28
Vloz na zaklade kluca;229500;ns;29
Odstran na zaklade kluca;258900;ns;30
Vloz na zaklade kluca;231200;ns;29
Spristupni na zaklade kluca;223300;ns;30
Vloz na zaklade kluca;257500;ns;30
Vloz na zaklade kluca;254800;ns;31
Spristupni na zaklade kluca;238100;ns;32
Vloz na zaklade kluca;269000;ns;32
