Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;13900;ns;0
Odstran na zaklade kluca;43100;ns;1
Vloz na zaklade kluca;2400;ns;0
Vloz na zaklade kluca;5600;ns;1
Vloz na zaklade kluca;3600;ns;2
Odstran na zaklade kluca;4600;ns;3
Vloz na zaklade kluca;3400;ns;2
Odstran na zaklade kluca;4200;ns;3
Spristupni na zaklade kluca;8800;ns;2
Odstran na zaklade kluca;3600;ns;2
Vloz na zaklade kluca;3100;ns;1
Odstran na zaklade kluca;3600;ns;2
Vloz na zaklade kluca;3000;ns;1
Odstran na zaklade kluca;3600;ns;2
Odstran na zaklade kluca;2600;ns;1
Vloz na zaklade kluca;2000;ns;0
Odstran na zaklade kluca;2500;ns;1
Vloz na zaklade kluca;2000;ns;0
Odstran na zaklade kluca;2500;ns;1
Vloz na zaklade kluca;2000;ns;0
Vloz na zaklade kluca;4400;ns;1
Vloz na zaklade kluca;3400;ns;2
Vloz na zaklade kluca;4000;ns;3
Odstran na zaklade kluca;4600;ns;4
Odstran na zaklade kluca;4000;ns;3
Odstran na zaklade kluca;3500;ns;2
Odstran na zaklade kluca;2500;ns;1
Vloz na zaklade kluca;2100;ns;0
Odstran na zaklade kluca;2500;ns;1
Vloz na zaklade kluca;2000;ns;0
Vloz na zaklade kluca;2900;ns;1
Odstran na zaklade kluca;3600;ns;2
Vloz na zaklade kluca;3000;ns;1
Vloz na zaklade kluca;3500;ns;2
Vloz na zaklade kluca;4100;ns;3
Vloz na zaklade kluca;4400;ns;4
Spristupni na zaklade kluca;2500;ns;5
Vloz na zaklade kluca;4900;ns;5
Vloz na zaklade kluca;5400;ns;6
Odstran na zaklade kluca;6200;ns;7
Odstran na zaklade kluca;5600;ns;6
Odstran na zaklade kluca;5000;ns;5
Vloz na zaklade kluca;4600;ns;4
Odstran na zaklade kluca;5000;ns;5
Vloz na zaklade kluca;4500;ns;4
Vloz na zaklade kluca;5000;ns;5
Odstran na zaklade kluca;5600;ns;6
Odstran na zaklade kluca;5100;ns;5
Odstran na zaklade kluca;4600;ns;4
Vloz na zaklade kluca;3900;ns;3
Odstran na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;4000;ns;3
Vloz na zaklade kluca;3500;ns;2
Vloz na zaklade kluca;6700;ns;3
Spristupni na zaklade kluca;2000;ns;4
Vloz na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;5100;ns;5
Spristupni na zaklade kluca;2100;ns;4
Vloz na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;5200;ns;5
Vloz na zaklade kluca;6000;ns;4
Vloz na zaklade kluca;4900;ns;5
Vloz na zaklade kluca;5500;ns;6
Odstran na zaklade kluca;6200;ns;7
Vloz na zaklade kluca;5500;ns;6
Odstran na zaklade kluca;7600;ns;7
Odstran na zaklade kluca;5500;ns;6
Odstran na zaklade kluca;6500;ns;5
Odstran na zaklade kluca;4500;ns;4
Vloz na zaklade kluca;4000;ns;3
Odstran na zaklade kluca;4600;ns;4
Odstran na zaklade kluca;4100;ns;3
Odstran na zaklade kluca;3600;ns;2
Spristupni na zaklade kluca;500;ns;1
Vloz na zaklade kluca;2900;ns;1
Odstran na zaklade kluca;3600;ns;2
Vloz na zaklade kluca;2800;ns;1
Vloz na zaklade kluca;3500;ns;2
Vloz na zaklade kluca;4000;ns;3
Odstran na zaklade kluca;4600;ns;4
Odstran na zaklade kluca;4100;ns;3
Odstran na zaklade kluca;3600;ns;2
Spristupni na zaklade kluca;400;ns;1
Odstran na zaklade kluca;2600;ns;1
Vloz na zaklade kluca;1900;ns;0
Odstran na zaklade kluca;2500;ns;1
Vloz na zaklade kluca;2000;ns;0
Vloz na zaklade kluca;2900;ns;1
Vloz na zaklade kluca;3400;ns;2
Vloz na zaklade kluca;3900;ns;3
Odstran na zaklade kluca;4700;ns;4
Odstran na zaklade kluca;4100;ns;3
Odstran na zaklade kluca;3700;ns;2
Vloz na zaklade kluca;2900;ns;1
Vloz na zaklade kluca;3400;ns;2
Spristupni na zaklade kluca;1600;ns;3
Vloz na zaklade kluca;4000;ns;3
Spristupni na zaklade kluca;2000;ns;4
Odstran na zaklade kluca;4700;ns;4
Vloz na zaklade kluca;3900;ns;3
Odstran na zaklade kluca;4700;ns;4
Vloz na zaklade kluca;4000;ns;3
Vloz na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;5100;ns;5
Odstran na zaklade kluca;4600;ns;4
Vloz na zaklade kluca;3900;ns;3
Vloz na zaklade kluca;4500;ns;4
Vloz na zaklade kluca;5000;ns;5
Odstran na zaklade kluca;5600;ns;6
Odstran na zaklade kluca;5100;ns;5
Vloz na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;5200;ns;5
Vloz na zaklade kluca;4400;ns;4
Spristupni na zaklade kluca;2500;ns;5
Odstran na zaklade kluca;7400;ns;5
Odstran na zaklade kluca;4800;ns;4
Odstran na zaklade kluca;4200;ns;3
Vloz na zaklade kluca;3900;ns;2
Vloz na zaklade kluca;4000;ns;3
Vloz na zaklade kluca;4500;ns;4
Odstran na zaklade kluca;5400;ns;5
Vloz na zaklade kluca;8200;ns;4
Odstran na zaklade kluca;9000;ns;5
Odstran na zaklade kluca;2900;ns;4
Odstran na zaklade kluca;2500;ns;3
Spristupni na zaklade kluca;1000;ns;2
Odstran na zaklade kluca;2400;ns;2
Odstran na zaklade kluca;1500;ns;1
Vloz na zaklade kluca;1400;ns;0
Odstran na zaklade kluca;1500;ns;1
Vloz na zaklade kluca;1100;ns;0
Odstran na zaklade kluca;1400;ns;1
Vloz na zaklade kluca;1000;ns;0
Odstran na zaklade kluca;1400;ns;1
Vloz na zaklade kluca;1000;ns;0
Vloz na zaklade kluca;1600;ns;1
Vloz na zaklade kluca;1900;ns;2
Vloz na zaklade kluca;2200;ns;3
Vloz na zaklade kluca;2500;ns;4
Spristupni na zaklade kluca;1500;ns;5
