Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;14700;ns;0
Odstran na zaklade kluca;11500;ns;1
Vloz na zaklade kluca;2800;ns;0
Vloz na zaklade kluca;2700;ns;1
Vloz na zaklade kluca;1100;ns;2
Vloz na zaklade kluca;1000;ns;3
Vloz na zaklade kluca;900;ns;4
Vloz na zaklade kluca;1000;ns;5
Vloz na zaklade kluca;900;ns;6
Spristupni na zaklade kluca;800;ns;7
Spristupni na zaklade kluca;500;ns;7
Vloz na zaklade kluca;1000;ns;7
Spristupni na zaklade kluca;700;ns;8
Vloz na zaklade kluca;7400;ns;8
Vloz na zaklade kluca;1100;ns;9
Odstran na zaklade kluca;6600;ns;10
Vloz na zaklade kluca;1100;ns;9
Odstran na zaklade kluca;1000;ns;10
Vloz na zaklade kluca;1000;ns;9
Odstran na zaklade kluca;5500;ns;10
Odstran na zaklade kluca;3200;ns;9
Vloz na zaklade kluca;5300;ns;8
Odstran na zaklade kluca;1300;ns;9
Vloz na zaklade kluca;4700;ns;8
Vloz na zaklade kluca;800;ns;9
Odstran na zaklade kluca;900;ns;10
Vloz na zaklade kluca;800;ns;9
Vloz na zaklade kluca;800;ns;10
Odstran na zaklade kluca;5000;ns;11
Vloz na zaklade kluca;9300;ns;10
Odstran na zaklade kluca;5500;ns;11
Vloz na zaklade kluca;1000;ns;10
Spristupni na zaklade kluca;4600;ns;11
Vloz na zaklade kluca;4700;ns;11
Vloz na zaklade kluca;900;ns;12
Vloz na zaklade kluca;900;ns;13
Spristupni na zaklade kluca;400;ns;14
Odstran na zaklade kluca;1300;ns;14
Vloz na zaklade kluca;900;ns;13
Vloz na zaklade kluca;2700;ns;14
Vloz na zaklade kluca;900;ns;15
Vloz na zaklade kluca;800;ns;16
Odstran na zaklade kluca;900;ns;17
Odstran na zaklade kluca;1200;ns;16
Vloz na zaklade kluca;500;ns;15
Vloz na zaklade kluca;400;ns;16
Odstran na zaklade kluca;500;ns;17
Spristupni na zaklade kluca;300;ns;16
Odstran na zaklade kluca;400;ns;16
Odstran na zaklade kluca;500;ns;15
Vloz na zaklade kluca;200;ns;14
Vloz na zaklade kluca;300;ns;15
Odstran na zaklade kluca;400;ns;16
Odstran na zaklade kluca;200;ns;15
Odstran na zaklade kluca;400;ns;14
Vloz na zaklade kluca;200;ns;13
Vloz na zaklade kluca;400;ns;14
Odstran na zaklade kluca;400;ns;15
Vloz na zaklade kluca;300;ns;14
Vloz na zaklade kluca;300;ns;15
Odstran na zaklade kluca;500;ns;16
Vloz na zaklade kluca;400;ns;15
Spristupni na zaklade kluca;200;ns;16
Spristupni na zaklade kluca;200;ns;16
Vloz na zaklade kluca;300;ns;16
Vloz na zaklade kluca;300;ns;17
Odstran na zaklade kluca;400;ns;18
Vloz na zaklade kluca;300;ns;17
Odstran na zaklade kluca;500;ns;18
Odstran na zaklade kluca;400;ns;17
Odstran na zaklade kluca;400;ns;16
Spristupni na zaklade kluca;200;ns;15
Odstran na zaklade kluca;300;ns;15
Vloz na zaklade kluca;300;ns;14
Odstran na zaklade kluca;200;ns;15
Vloz na zaklade kluca;300;ns;14
Vloz na zaklade kluca;300;ns;15
Vloz na zaklade kluca;300;ns;16
Odstran na zaklade kluca;500;ns;17
Vloz na zaklade kluca;1900;ns;16
Odstran na zaklade kluca;400;ns;17
Odstran na zaklade kluca;400;ns;16
Odstran na zaklade kluca;500;ns;15
Spristupni na zaklade kluca;200;ns;14
Spristupni na zaklade kluca;200;ns;14
Odstran na zaklade kluca;400;ns;14
Odstran na zaklade kluca;400;ns;13
Vloz na zaklade kluca;300;ns;12
Odstran na zaklade kluca;500;ns;13
Vloz na zaklade kluca;300;ns;12
Vloz na zaklade kluca;300;ns;13
Odstran na zaklade kluca;300;ns;14
Odstran na zaklade kluca;300;ns;13
Odstran na zaklade kluca;600;ns;12
Odstran na zaklade kluca;3500;ns;11
Spristupni na zaklade kluca;200;ns;10
Odstran na zaklade kluca;400;ns;10
Vloz na zaklade kluca;400;ns;9
Vloz na zaklade kluca;6700;ns;10
Odstran na zaklade kluca;3800;ns;11
Odstran na zaklade kluca;5300;ns;10
Odstran na zaklade kluca;1400;ns;9
Vloz na zaklade kluca;4000;ns;8
Vloz na zaklade kluca;300;ns;9
Vloz na zaklade kluca;6800;ns;10
Vloz na zaklade kluca;300;ns;11
Vloz na zaklade kluca;300;ns;12
Odstran na zaklade kluca;500;ns;13
Vloz na zaklade kluca;300;ns;12
Vloz na zaklade kluca;300;ns;13
Odstran na zaklade kluca;500;ns;14
Vloz na zaklade kluca;300;ns;13
Vloz na zaklade kluca;300;ns;14
Vloz na zaklade kluca;300;ns;15
Vloz na zaklade kluca;300;ns;16
Odstran na zaklade kluca;400;ns;17
Odstran na zaklade kluca;400;ns;16
Spristupni na zaklade kluca;200;ns;15
Odstran na zaklade kluca;500;ns;15
Vloz na zaklade kluca;400;ns;14
Odstran na zaklade kluca;500;ns;15
Vloz na zaklade kluca;2300;ns;14
Odstran na zaklade kluca;1000;ns;15
Vloz na zaklade kluca;1100;ns;14
Spristupni na zaklade kluca;500;ns;15
Vloz na zaklade kluca;800;ns;15
Vloz na zaklade kluca;700;ns;16
Vloz na zaklade kluca;700;ns;17
Vloz na zaklade kluca;700;ns;18
Odstran na zaklade kluca;700;ns;19
Vloz na zaklade kluca;700;ns;18
Odstran na zaklade kluca;1200;ns;19
Odstran na zaklade kluca;1000;ns;18
Vloz na zaklade kluca;600;ns;17
Odstran na zaklade kluca;600;ns;18
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;700;ns;16
Vloz na zaklade kluca;600;ns;17
Vloz na zaklade kluca;700;ns;18
Odstran na zaklade kluca;700;ns;19
Vloz na zaklade kluca;2500;ns;18
Odstran na zaklade kluca;900;ns;19
Spristupni na zaklade kluca;500;ns;18
