Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;71200;ns;0
Spristupni na zaklade kluca;600;ns;1
Odstran na zaklade kluca;20300;ns;1
Vloz na zaklade kluca;800;ns;0
Spristupni na zaklade kluca;400;ns;1
Spristupni na zaklade kluca;400;ns;1
Spristupni na zaklade kluca;400;ns;1
Odstran na zaklade kluca;800;ns;1
Vloz na zaklade kluca;600;ns;0
Spristupni na zaklade kluca;400;ns;1
Vloz na zaklade kluca;800;ns;1
Vloz na zaklade kluca;700;ns;2
Spristupni na zaklade kluca;600;ns;3
Spristupni na zaklade kluca;500;ns;3
Spristupni na zaklade kluca;600;ns;3
Odstran na zaklade kluca;1000;ns;3
Spristupni na zaklade kluca;400;ns;2
Vloz na zaklade kluca;700;ns;2
Spristupni na zaklade kluca;600;ns;3
Spristupni na zaklade kluca;600;ns;3
Spristupni na zaklade kluca;500;ns;3
Odstran na zaklade kluca;1000;ns;3
Spristupni na zaklade kluca;400;ns;2
Odstran na zaklade kluca;800;ns;2
Spristupni na zaklade kluca;400;ns;1
Spristupni na zaklade kluca;500;ns;1
Spristupni na zaklade kluca;400;ns;1
Vloz na zaklade kluca;600;ns;1
Vloz na zaklade kluca;700;ns;2
Odstran na zaklade kluca;1000;ns;3
Spristupni na zaklade kluca;400;ns;2
Odstran na zaklade kluca;800;ns;2
Vloz na zaklade kluca;700;ns;1
Spristupni na zaklade kluca;400;ns;2
Vloz na zaklade kluca;700;ns;2
Vloz na zaklade kluca;800;ns;3
Spristupni na zaklade kluca;500;ns;4
Spristupni na zaklade kluca;500;ns;4
Spristupni na zaklade kluca;600;ns;4
Spristupni na zaklade kluca;600;ns;4
Odstran na zaklade kluca;1000;ns;4
Vloz na zaklade kluca;900;ns;3
Vloz na zaklade kluca;7400;ns;4
Spristupni na zaklade kluca;600;ns;5
Spristupni na zaklade kluca;500;ns;5
Odstran na zaklade kluca;1200;ns;5
Spristupni na zaklade kluca;600;ns;4
Spristupni na zaklade kluca;500;ns;4
Spristupni na zaklade kluca;600;ns;4
