Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;4200;ns;0
Odstran na zaklade kluca;2800;ns;1
Vloz na zaklade kluca;1200;ns;0
Odstran na zaklade kluca;1400;ns;1
Vloz na zaklade kluca;800;ns;0
Odstran na zaklade kluca;1100;ns;1
Vloz na zaklade kluca;800;ns;0
Vloz na zaklade kluca;1400;ns;1
Odstran na zaklade kluca;2200;ns;2
Odstran na zaklade kluca;1900;ns;1
Vloz na zaklade kluca;1300;ns;0
Odstran na zaklade kluca;1600;ns;1
Vloz na zaklade kluca;1300;ns;0
Vloz na zaklade kluca;1800;ns;1
Odstran na zaklade kluca;2000;ns;2
Odstran na zaklade kluca;1900;ns;1
Vloz na zaklade kluca;1300;ns;0
Odstran na zaklade kluca;1700;ns;1
Vloz na zaklade kluca;1100;ns;0
Odstran na zaklade kluca;1800;ns;1
Vloz na zaklade kluca;1300;ns;0
Odstran na zaklade kluca;1800;ns;1
Vloz na zaklade kluca;1500;ns;0
Vloz na zaklade kluca;1800;ns;1
Vloz na zaklade kluca;1900;ns;2
Vloz na zaklade kluca;1200;ns;3
Odstran na zaklade kluca;1400;ns;4
Odstran na zaklade kluca;1100;ns;3
Vloz na zaklade kluca;800;ns;2
Odstran na zaklade kluca;1100;ns;3
Odstran na zaklade kluca;900;ns;2
Vloz na zaklade kluca;700;ns;1
Odstran na zaklade kluca;900;ns;2
Odstran na zaklade kluca;900;ns;1
Vloz na zaklade kluca;700;ns;0
Spristupni na zaklade kluca;600;ns;1
Vloz na zaklade kluca;700;ns;1
Vloz na zaklade kluca;700;ns;2
Odstran na zaklade kluca;1100;ns;3
Vloz na zaklade kluca;700;ns;2
Odstran na zaklade kluca;1100;ns;3
Vloz na zaklade kluca;700;ns;2
Odstran na zaklade kluca;1100;ns;3
Odstran na zaklade kluca;900;ns;2
Odstran na zaklade kluca;900;ns;1
Vloz na zaklade kluca;600;ns;0
Odstran na zaklade kluca;800;ns;1
Vloz na zaklade kluca;600;ns;0
Vloz na zaklade kluca;800;ns;1
Vloz na zaklade kluca;700;ns;2
Vloz na zaklade kluca;800;ns;3
Odstran na zaklade kluca;1200;ns;4
Vloz na zaklade kluca;900;ns;3
Odstran na zaklade kluca;1100;ns;4
Vloz na zaklade kluca;900;ns;3
Vloz na zaklade kluca;4100;ns;4
Odstran na zaklade kluca;1200;ns;5
Odstran na zaklade kluca;1100;ns;4
Vloz na zaklade kluca;900;ns;3
Vloz na zaklade kluca;800;ns;4
Vloz na zaklade kluca;900;ns;5
Vloz na zaklade kluca;900;ns;6
Odstran na zaklade kluca;1400;ns;7
Odstran na zaklade kluca;1300;ns;6
Vloz na zaklade kluca;800;ns;5
Spristupni na zaklade kluca;600;ns;6
Vloz na zaklade kluca;800;ns;6
Odstran na zaklade kluca;1400;ns;7
Odstran na zaklade kluca;1200;ns;6
Vloz na zaklade kluca;800;ns;5
Vloz na zaklade kluca;900;ns;6
Spristupni na zaklade kluca;700;ns;7
Odstran na zaklade kluca;1400;ns;7
Vloz na zaklade kluca;900;ns;6
Vloz na zaklade kluca;1000;ns;7
Vloz na zaklade kluca;3000;ns;8
Vloz na zaklade kluca;1100;ns;9
Odstran na zaklade kluca;1600;ns;10
Vloz na zaklade kluca;1000;ns;9
Vloz na zaklade kluca;1000;ns;10
Odstran na zaklade kluca;1600;ns;11
Odstran na zaklade kluca;1500;ns;10
Odstran na zaklade kluca;1600;ns;9
Odstran na zaklade kluca;1500;ns;8
Odstran na zaklade kluca;1400;ns;7
Odstran na zaklade kluca;1200;ns;6
Odstran na zaklade kluca;1200;ns;5
Odstran na zaklade kluca;1200;ns;4
Vloz na zaklade kluca;800;ns;3
Vloz na zaklade kluca;800;ns;4
Odstran na zaklade kluca;1200;ns;5
Odstran na zaklade kluca;1100;ns;4
Odstran na zaklade kluca;1100;ns;3
Vloz na zaklade kluca;700;ns;2
Vloz na zaklade kluca;900;ns;3
Vloz na zaklade kluca;900;ns;4
Spristupni na zaklade kluca;600;ns;5
Odstran na zaklade kluca;1200;ns;5
Vloz na zaklade kluca;800;ns;4
Odstran na zaklade kluca;1100;ns;5
Vloz na zaklade kluca;800;ns;4
Vloz na zaklade kluca;800;ns;5
Vloz na zaklade kluca;800;ns;6
Odstran na zaklade kluca;1400;ns;7
Vloz na zaklade kluca;900;ns;6
Vloz na zaklade kluca;1000;ns;7
Spristupni na zaklade kluca;700;ns;8
Vloz na zaklade kluca;1000;ns;8
Odstran na zaklade kluca;1500;ns;9
Odstran na zaklade kluca;1500;ns;8
Odstran na zaklade kluca;1400;ns;7
Vloz na zaklade kluca;900;ns;6
Spristupni na zaklade kluca;700;ns;7
Vloz na zaklade kluca;1000;ns;7
Odstran na zaklade kluca;1400;ns;8
Odstran na zaklade kluca;1400;ns;7
Odstran na zaklade kluca;1200;ns;6
Vloz na zaklade kluca;800;ns;5
Vloz na zaklade kluca;800;ns;6
Vloz na zaklade kluca;900;ns;7
Vloz na zaklade kluca;1000;ns;8
Vloz na zaklade kluca;900;ns;9
Odstran na zaklade kluca;1600;ns;10
Vloz na zaklade kluca;1400;ns;9
Vloz na zaklade kluca;1000;ns;10
Odstran na zaklade kluca;1700;ns;11
Vloz na zaklade kluca;900;ns;10
Vloz na zaklade kluca;1000;ns;11
Vloz na zaklade kluca;900;ns;12
Odstran na zaklade kluca;1700;ns;13
Vloz na zaklade kluca;900;ns;12
Vloz na zaklade kluca;900;ns;13
Vloz na zaklade kluca;1000;ns;14
Odstran na zaklade kluca;1900;ns;15
Vloz na zaklade kluca;900;ns;14
Vloz na zaklade kluca;1000;ns;15
Vloz na zaklade kluca;3400;ns;16
Vloz na zaklade kluca;1100;ns;17
Vloz na zaklade kluca;1100;ns;18
Odstran na zaklade kluca;2200;ns;19
Odstran na zaklade kluca;2100;ns;18
Vloz na zaklade kluca;1000;ns;17
Vloz na zaklade kluca;1100;ns;18
Odstran na zaklade kluca;2100;ns;19
Vloz na zaklade kluca;1100;ns;18
Vloz na zaklade kluca;1100;ns;19
Odstran na zaklade kluca;2200;ns;20
Odstran na zaklade kluca;2200;ns;19
Odstran na zaklade kluca;2100;ns;18
Vloz na zaklade kluca;1100;ns;17
Spristupni na zaklade kluca;800;ns;18
Odstran na zaklade kluca;2100;ns;18
Vloz na zaklade kluca;1100;ns;17
Vloz na zaklade kluca;1100;ns;18
Vloz na zaklade kluca;1100;ns;19
Odstran na zaklade kluca;2100;ns;20
Vloz na zaklade kluca;1100;ns;19
Odstran na zaklade kluca;2200;ns;20
Odstran na zaklade kluca;2200;ns;19
Odstran na zaklade kluca;2100;ns;18
Odstran na zaklade kluca;2100;ns;17
Odstran na zaklade kluca;2000;ns;16
Odstran na zaklade kluca;1900;ns;15
Vloz na zaklade kluca;1000;ns;14
Vloz na zaklade kluca;1100;ns;15
Odstran na zaklade kluca;2000;ns;16
Odstran na zaklade kluca;1900;ns;15
Vloz na zaklade kluca;900;ns;14
Spristupni na zaklade kluca;800;ns;15
Vloz na zaklade kluca;1100;ns;15
Vloz na zaklade kluca;1000;ns;16
Vloz na zaklade kluca;1100;ns;17
Vloz na zaklade kluca;1100;ns;18
Odstran na zaklade kluca;2200;ns;19
Vloz na zaklade kluca;1000;ns;18
Vloz na zaklade kluca;1100;ns;19
Vloz na zaklade kluca;1100;ns;20
Spristupni na zaklade kluca;900;ns;21
Odstran na zaklade kluca;2200;ns;21
Odstran na zaklade kluca;2200;ns;20
Odstran na zaklade kluca;2100;ns;19
Odstran na zaklade kluca;2100;ns;18
Spristupni na zaklade kluca;900;ns;17
Odstran na zaklade kluca;2000;ns;17
Vloz na zaklade kluca;1000;ns;16
Vloz na zaklade kluca;1100;ns;17
Vloz na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;2200;ns;19
Vloz na zaklade kluca;1000;ns;18
Vloz na zaklade kluca;1100;ns;19
Vloz na zaklade kluca;1100;ns;20
Spristupni na zaklade kluca;800;ns;21
Odstran na zaklade kluca;2200;ns;21
Vloz na zaklade kluca;1100;ns;20
Spristupni na zaklade kluca;800;ns;21
Odstran na zaklade kluca;2200;ns;21
Odstran na zaklade kluca;2200;ns;20
Vloz na zaklade kluca;1100;ns;19
Vloz na zaklade kluca;1100;ns;20
Vloz na zaklade kluca;1100;ns;21
Vloz na zaklade kluca;1000;ns;22
Odstran na zaklade kluca;2300;ns;23
Vloz na zaklade kluca;1000;ns;22
Odstran na zaklade kluca;2300;ns;23
Vloz na zaklade kluca;1100;ns;22
Vloz na zaklade kluca;1100;ns;23
Odstran na zaklade kluca;2400;ns;24
Vloz na zaklade kluca;1100;ns;23
Vloz na zaklade kluca;1000;ns;24
Vloz na zaklade kluca;1100;ns;25
Vloz na zaklade kluca;1100;ns;26
Odstran na zaklade kluca;2600;ns;27
Odstran na zaklade kluca;2500;ns;26
Vloz na zaklade kluca;1100;ns;25
Odstran na zaklade kluca;2500;ns;26
Odstran na zaklade kluca;2500;ns;25
Vloz na zaklade kluca;1100;ns;24
Odstran na zaklade kluca;2400;ns;25
Vloz na zaklade kluca;1100;ns;24
Odstran na zaklade kluca;2500;ns;25
Odstran na zaklade kluca;2400;ns;24
Vloz na zaklade kluca;1100;ns;23
Odstran na zaklade kluca;2600;ns;24
Spristupni na zaklade kluca;1100;ns;23
Vloz na zaklade kluca;1900;ns;23
Odstran na zaklade kluca;3500;ns;24
Spristupni na zaklade kluca;1200;ns;23
Vloz na zaklade kluca;1900;ns;23
Vloz na zaklade kluca;1700;ns;24
