Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;98500;ns;0
Vloz na zaklade kluca;8500;ns;1
Odstran na zaklade kluca;31700;ns;2
Odstran na zaklade kluca;1800;ns;1
Vloz na zaklade kluca;1300;ns;0
Vloz na zaklade kluca;5800;ns;1
Odstran na zaklade kluca;1700;ns;2
Spristupni na zaklade kluca;900;ns;1
Odstran na zaklade kluca;1600;ns;1
Vloz na zaklade kluca;1200;ns;0
Vloz na zaklade kluca;5800;ns;1
Vloz na zaklade kluca;1300;ns;2
Spristupni na zaklade kluca;1000;ns;3
Spristupni na zaklade kluca;900;ns;3
Odstran na zaklade kluca;1900;ns;3
Odstran na zaklade kluca;1700;ns;2
Vloz na zaklade kluca;5600;ns;1
Spristupni na zaklade kluca;700;ns;2
Spristupni na zaklade kluca;700;ns;2
Vloz na zaklade kluca;1300;ns;2
Vloz na zaklade kluca;1500;ns;3
Spristupni na zaklade kluca;1000;ns;4
Vloz na zaklade kluca;12000;ns;4
Vloz na zaklade kluca;1500;ns;5
Vloz na zaklade kluca;1400;ns;6
Odstran na zaklade kluca;2600;ns;7
Odstran na zaklade kluca;2100;ns;6
Odstran na zaklade kluca;2000;ns;5
Spristupni na zaklade kluca;1000;ns;4
Vloz na zaklade kluca;1800;ns;4
Odstran na zaklade kluca;2300;ns;5
Odstran na zaklade kluca;2000;ns;4
Spristupni na zaklade kluca;1000;ns;3
Vloz na zaklade kluca;1600;ns;3
Odstran na zaklade kluca;2000;ns;4
Spristupni na zaklade kluca;1000;ns;3
Vloz na zaklade kluca;1400;ns;3
Spristupni na zaklade kluca;1000;ns;4
Vloz na zaklade kluca;1500;ns;4
Odstran na zaklade kluca;2000;ns;5
Odstran na zaklade kluca;1900;ns;4
Vloz na zaklade kluca;1400;ns;3
Vloz na zaklade kluca;1400;ns;4
Vloz na zaklade kluca;1400;ns;5
Spristupni na zaklade kluca;1000;ns;6
Vloz na zaklade kluca;1400;ns;6
Vloz na zaklade kluca;1700;ns;7
Spristupni na zaklade kluca;1200;ns;8
Vloz na zaklade kluca;5500;ns;8
Spristupni na zaklade kluca;1200;ns;9
Vloz na zaklade kluca;1700;ns;9
Odstran na zaklade kluca;2900;ns;10
Vloz na zaklade kluca;1600;ns;9
Vloz na zaklade kluca;1600;ns;10
Odstran na zaklade kluca;2800;ns;11
Spristupni na zaklade kluca;1400;ns;10
Spristupni na zaklade kluca;1200;ns;10
Vloz na zaklade kluca;1700;ns;10
Vloz na zaklade kluca;1600;ns;11
Vloz na zaklade kluca;1600;ns;12
Vloz na zaklade kluca;1600;ns;13
Vloz na zaklade kluca;1600;ns;14
Odstran na zaklade kluca;3400;ns;15
Odstran na zaklade kluca;3100;ns;14
Spristupni na zaklade kluca;1200;ns;13
Odstran na zaklade kluca;3000;ns;13
Vloz na zaklade kluca;1700;ns;12
Odstran na zaklade kluca;3000;ns;13
Odstran na zaklade kluca;2800;ns;12
Vloz na zaklade kluca;1600;ns;11
Odstran na zaklade kluca;2900;ns;12
Odstran na zaklade kluca;2800;ns;11
Spristupni na zaklade kluca;1100;ns;10
Vloz na zaklade kluca;1900;ns;10
Odstran na zaklade kluca;3200;ns;11
Vloz na zaklade kluca;2000;ns;10
Vloz na zaklade kluca;1800;ns;11
Odstran na zaklade kluca;3500;ns;12
Vloz na zaklade kluca;1900;ns;11
Vloz na zaklade kluca;1900;ns;12
Vloz na zaklade kluca;1700;ns;13
Vloz na zaklade kluca;1800;ns;14
Vloz na zaklade kluca;1800;ns;15
Vloz na zaklade kluca;5500;ns;16
Vloz na zaklade kluca;2200;ns;17
Vloz na zaklade kluca;1900;ns;18
Vloz na zaklade kluca;2100;ns;19
Vloz na zaklade kluca;2200;ns;20
Odstran na zaklade kluca;4200;ns;21
Vloz na zaklade kluca;2000;ns;20
Vloz na zaklade kluca;2000;ns;21
Vloz na zaklade kluca;1900;ns;22
Vloz na zaklade kluca;2000;ns;23
Odstran na zaklade kluca;5900;ns;24
Spristupni na zaklade kluca;1200;ns;23
Odstran na zaklade kluca;3100;ns;23
