Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;11300;ns;0
Vloz na zaklade kluca;5100;ns;1
Odstran na zaklade kluca;5000;ns;2
Spristupni na zaklade kluca;600;ns;1
Vloz na zaklade kluca;3900;ns;1
Vloz na zaklade kluca;6800;ns;2
Spristupni na zaklade kluca;900;ns;3
Vloz na zaklade kluca;3100;ns;3
Vloz na zaklade kluca;5900;ns;4
Spristupni na zaklade kluca;1300;ns;5
Vloz na zaklade kluca;8700;ns;5
Spristupni na zaklade kluca;1200;ns;6
Spristupni na zaklade kluca;1500;ns;6
Odstran na zaklade kluca;14500;ns;6
Spristupni na zaklade kluca;1000;ns;5
Spristupni na zaklade kluca;1000;ns;5
Vloz na zaklade kluca;2800;ns;5
Spristupni na zaklade kluca;1200;ns;6
Spristupni na zaklade kluca;1300;ns;6
Spristupni na zaklade kluca;1200;ns;6
Odstran na zaklade kluca;3300;ns;6
Odstran na zaklade kluca;4800;ns;5
Vloz na zaklade kluca;7500;ns;4
Spristupni na zaklade kluca;300;ns;5
Vloz na zaklade kluca;1900;ns;5
Spristupni na zaklade kluca;700;ns;6
Vloz na zaklade kluca;3800;ns;6
Vloz na zaklade kluca;5200;ns;7
Spristupni na zaklade kluca;300;ns;8
Spristupni na zaklade kluca;300;ns;8
Vloz na zaklade kluca;9400;ns;8
Spristupni na zaklade kluca;700;ns;9
Spristupni na zaklade kluca;600;ns;9
Vloz na zaklade kluca;3900;ns;9
Spristupni na zaklade kluca;600;ns;10
Vloz na zaklade kluca;5200;ns;10
Spristupni na zaklade kluca;300;ns;11
Spristupni na zaklade kluca;400;ns;11
Vloz na zaklade kluca;1700;ns;11
Spristupni na zaklade kluca;600;ns;12
Vloz na zaklade kluca;3800;ns;12
Spristupni na zaklade kluca;600;ns;13
Spristupni na zaklade kluca;600;ns;13
Vloz na zaklade kluca;2100;ns;13
Vloz na zaklade kluca;4000;ns;14
Spristupni na zaklade kluca;900;ns;15
Odstran na zaklade kluca;4800;ns;15
Spristupni na zaklade kluca;900;ns;14
Odstran na zaklade kluca;2700;ns;14
Spristupni na zaklade kluca;600;ns;13
Spristupni na zaklade kluca;600;ns;13
Spristupni na zaklade kluca;600;ns;13
Spristupni na zaklade kluca;600;ns;13
Spristupni na zaklade kluca;600;ns;13
Vloz na zaklade kluca;2200;ns;13
Spristupni na zaklade kluca;900;ns;14
Spristupni na zaklade kluca;900;ns;14
Spristupni na zaklade kluca;900;ns;14
Vloz na zaklade kluca;2400;ns;14
Spristupni na zaklade kluca;1300;ns;15
Spristupni na zaklade kluca;1200;ns;15
Vloz na zaklade kluca;8000;ns;15
Spristupni na zaklade kluca;600;ns;16
Spristupni na zaklade kluca;600;ns;16
Odstran na zaklade kluca;8500;ns;16
Vloz na zaklade kluca;4400;ns;15
Spristupni na zaklade kluca;1200;ns;16
Spristupni na zaklade kluca;1200;ns;16
Vloz na zaklade kluca;2800;ns;16
Odstran na zaklade kluca;3300;ns;17
Spristupni na zaklade kluca;1200;ns;16
Odstran na zaklade kluca;5100;ns;16
Odstran na zaklade kluca;3000;ns;15
Vloz na zaklade kluca;6100;ns;14
Spristupni na zaklade kluca;600;ns;15
Spristupni na zaklade kluca;600;ns;15
Vloz na zaklade kluca;2100;ns;15
Spristupni na zaklade kluca;900;ns;16
Odstran na zaklade kluca;2600;ns;16
Vloz na zaklade kluca;2100;ns;15
Spristupni na zaklade kluca;900;ns;16
Vloz na zaklade kluca;7600;ns;16
Vloz na zaklade kluca;2300;ns;17
Vloz na zaklade kluca;6700;ns;18
Spristupni na zaklade kluca;1200;ns;19
Odstran na zaklade kluca;3200;ns;19
Spristupni na zaklade kluca;900;ns;18
Vloz na zaklade kluca;6100;ns;18
Vloz na zaklade kluca;4500;ns;19
Spristupni na zaklade kluca;1200;ns;20
Spristupni na zaklade kluca;1200;ns;20
Vloz na zaklade kluca;2900;ns;20
Vloz na zaklade kluca;4600;ns;21
Vloz na zaklade kluca;6500;ns;22
Spristupni na zaklade kluca;1200;ns;23
Vloz na zaklade kluca;8200;ns;23
Spristupni na zaklade kluca;600;ns;24
Vloz na zaklade kluca;2300;ns;24
Vloz na zaklade kluca;2600;ns;25
Spristupni na zaklade kluca;1200;ns;26
Spristupni na zaklade kluca;1200;ns;26
Spristupni na zaklade kluca;1400;ns;26
Vloz na zaklade kluca;3100;ns;26
Vloz na zaklade kluca;11600;ns;27
Spristupni na zaklade kluca;400;ns;28
Spristupni na zaklade kluca;300;ns;28
Spristupni na zaklade kluca;300;ns;28
Vloz na zaklade kluca;2200;ns;28
Spristupni na zaklade kluca;600;ns;29
Spristupni na zaklade kluca;700;ns;29
Spristupni na zaklade kluca;600;ns;29
Spristupni na zaklade kluca;600;ns;29
